question,correct,sp_precision,sp_recall,generated_answer,gold_answer,subquery_1,subquery_2,subquery_3,subquery_4,subquery_5,subanswer_1,subanswer_2,subanswer_3,subanswer_4,subanswer_5,num_retrieved,num_gold,retrieved_1,retrieved_2,retrieved_3,retrieved_4,retrieved_5,retrieved_6,retrieved_7,retrieved_8,retrieved_9,retrieved_10,retrieved_11,retrieved_12,retrieved_13,retrieved_14,retrieved_15,retrieved_16,retrieved_17,retrieved_18,retrieved_19,retrieved_20,retrieved_21,retrieved_22,retrieved_23,retrieved_24,retrieved_25,retrieved_26,retrieved_27,retrieved_28,retrieved_29,retrieved_30,retrieved_31,gold_1,gold_2,gold_3,gold_4,gold_5
Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,1,0.1667,1.0,2000,2000,"Who is the author of ""Seven Brief Lessons on Physics""? [ANSWER_1]",What country is the author from? [ANSWER_2],Where has the author worked since? [ANSWER_3],What year did the author start working in France? [ANSWER_4],What is the name of the country where the author has worked since 2010? [ANSWER_5],Carlo Rovelli,Italy,France,2000,France,12,2,"Seven Brief Lessons on Physics (Italian: """" ) is a short book by the Italian physicist Carlo Rovelli.","Originally published in Italian in 2014, the book has been translated into 41 languages.","It is an Italian bestseller, with more than 300,000 copies sold in Rovelli's home country.","Carlo Rovelli (born 3 May 1956) is an Italian theoretical physicist and writer who has worked in Italy, the United States and since 2000, in France.","His work is mainly in the field of quantum gravity, where he is among the founders of the loop quantum gravity theory.",He has also worked in the history and philosophy of science.,"He collaborates regularly with several Italian newspapers, in particular the cultural supplements of ""Il Corriere della Sera"", ""Il Sole 24 Ore"" and ""La Repubblica"".","Enrico Fermi ( ; ] ; 29 September 1901 – 28 November 1954) was an Italian physicist and the creator of the world's first nuclear reactor, the Chicago Pile-1.","He has been called the ""architect of the nuclear age"" and the ""architect of the atomic bomb"".",He was one of the very few physicists in history to excel both theoretically and experimentally.,"Fermi held several patents related to the use of nuclear power, and was awarded the 1938 Nobel Prize in Physics for his work on induced radioactivity by neutron bombardment and the discovery of transuranic elements.","He made significant contributions to the development of quantum theory, nuclear and particle physics, and statistical mechanics.",,,,,,,,,,,,,,,,,,,,"Seven Brief Lessons on Physics (Italian: """" ) is a short book by the Italian physicist Carlo Rovelli.","Carlo Rovelli (born 3 May 1956) is an Italian theoretical physicist and writer who has worked in Italy, the United States and since 2000, in France.",,,
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",1,0.125,1.0,World War II,World War II,What war is the Livesey Hal War Memorial commemorating? [ANSWER_1],How many casualties did this war have? [ANSWER_2],Which war is associated with over 60 million casualties? [ANSWER_3],,,World War I and World War II,60 million,World War II,,,16,2,The Livesey Hall War Memorial commemorates the fallen of World War I and World War II who had been employed by the South Suburban Gas Company of London.,It is also a tribute to those employees who served in the wars.,"The monument was designed and executed by British sculptor Sydney March, of the March family of artists.","The Tower Hill Memorial is a Commonwealth War Graves Commission war memorial on the south side of Trinity Square Gardens, in London, England.","The memorial commemorates those from the Merchant Navy and fishing fleets who died during both world wars and have ""no grave but the sea"".","The memorial was designed by Edwin Lutyens with sculpture work by William Reid Dick, the Second World War extension was designed by Edward Maufe with sculpture work by Charles Wheeler.",World War II was the deadliest military conflict in history in absolute terms of total casualties.,"Over 60 million people were killed, which was about 3% of the 1940 world population (est. 2.3 billion).",The tables below give a detailed country-by-country count of human losses.,"World War II fatality statistics vary, with estimates of total deaths ranging from 50 million to more than 80 million.",The higher figure of over 80 million includes deaths from war-related disease and famine.,"Civilians killed totalled 50 to 55 million, including 19 to 28 million from war-related disease and famine.","Military deaths from all causes totalled 21 to 25 million, including deaths in captivity of about 5 million prisoners of war.","The Alamein Memorial is a Commonwealth War Graves Commission war memorial in the El Alamein War Cemetery, El Alamein, Egypt.","The memorial commemorates 11,866 Commonwealth forces members who died during World War II.",The memorial was designed by Hubert Worthington and unveiled by Viscount Montgomery of Alamein on 24 October 1954.,,,,,,,,,,,,,,,,The Livesey Hall War Memorial commemorates the fallen of World War I and World War II who had been employed by the South Suburban Gas Company of London.,"Over 60 million people were killed, which was about 3% of the 1940 world population (est. 2.3 billion).",,,
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,1,0.1538,1.0,No,no,What is the location of Elko Regional Airport? [ANSWER_1],What is the location of Gerald R. Ford International Airport? [ANSWER_2],"Are both Mile west of downtown Elko, in Elko County, Nevada. and Cascade Township, approximately 13 mi southeast of Grand Rapids, Michigan. located in Michigan? [ANSWER_3]",,,"Mile west of downtown Elko, in Elko County, Nevada.","Cascade Township, approximately 13 mi southeast of Grand Rapids, Michigan.",No,,,13,2,"Elko Regional Airport (IATA: EKO, ICAO: KEKO, FAA LID: EKO) , formerly Elko Municipal Airport, is a mile west of downtown Elko, in Elko County, Nevada.","Gerald R. Ford International Airport (IATA: GRR, ICAO: KGRR, FAA LID: GRR) is a commercial airport in Cascade Township approximately 13 mi southeast of Grand Rapids, Michigan.",The facility is owned by the Kent County Board of Commissioners and managed by an independent authority.,The Federal Aviation Administration (FAA) National Plan of Integrated Airport Systems for 2017–2021 categorized it as a small hub primary commercial service facility.,"Bishop International Airport (IATA: FNT, ICAO: KFNT, FAA LID: FNT) is a commercial and general aviation airport located in Flint, Michigan.","It is named after banker and General Motors board member Arthur Giles Bishop (April 12, 1851 – January 22, 1944), who donated 220 acres of his farmland for the airport in 1928.","The third busiest airport in Michigan, it surpassed competitor MBS International Airport in terms of airline operations in 2002.","In 2007, 1,071,238 passengers used Bishop International Airport; in 2011, 938,914 passengers used the airport.","It is included in the Federal Aviation Administration (FAA) National Plan of Integrated Airport Systems for 2017–2021, in which it is categorized as a small hub primary commercial service facility.","The airport is currently served by several passenger airlines: Allegiant Air, Southwest Airlines and Delta Air Lines operate mainline service out of the airport, as well as affiliates of Delta Connection, United Express and American Eagle.","Additionally, FedEx Express and a FedEx Feeder affiliate operate cargo services out of the airport.",Accompanying the airlines is fixed-base operator Av Flight that handles both general aviation and airline operations and the flight school American Wings Aviation.,"Bishop International Airport is in southwestern Flint, and is surrounded by Flint Township to the north, east and west; and Mundy Township to the south.",,,,,,,,,,,,,,,,,,,"Elko Regional Airport (IATA: EKO, ICAO: KEKO, FAA LID: EKO) , formerly Elko Municipal Airport, is a mile west of downtown Elko, in Elko County, Nevada.","Gerald R. Ford International Airport (IATA: GRR, ICAO: KGRR, FAA LID: GRR) is a commercial airport in Cascade Township approximately 13 mi southeast of Grand Rapids, Michigan.",,,
Ralph Hefferline was a psychology professor at a university that is located in what city?,1,0.1818,1.0,New York City,New York City,Who was Ralph Hefferline? [ANSWER_1],What university did Ralph Hefferline teach at? [ANSWER_2],What city is the university located in? [ANSWER_3],,,Psychology professor at Columbia University.,Columbia University,New York City,,,11,2,"Ralph Franklin Hefferline (15 February 1910 in Muncie, Indiana – 16 March 1974) was a psychology professor at Columbia University.","Abraham Harold Maslow ( ; April 1, 1908 – June 8, 1970) was an American psychologist who was best known for creating Maslow's hierarchy of needs, a theory of psychological health predicated on fulfilling innate human needs in priority, culminating in self-actualization.","Maslow was a psychology professor at Alliant International University, Brandeis University, Brooklyn College, New School for Social Research, and Columbia University.","He stressed the importance of focusing on the positive qualities in people, as opposed to treating them as a ""bag of symptoms.""","A ""Review of General Psychology"" survey, published in 2002, ranked Maslow as the tenth most cited psychologist of the 20th century.","Columbia University (Columbia; officially Columbia University in the City of New York), established in 1754, is a private Ivy League research university in Upper Manhattan, New York City, often cited as one of the world's most prestigious universities.",The Princeton Neuroscience Institute (PNI) is a center for neuroscience research at Princeton University.,PNI was created in 2006 as a partnership of Princeton University's departments of Psychology and Molecular Biology.,"This partnership was led by psychology professor Jonathan Cohen and molecular biology professor David Tank, who continue to serve as Co-Directors of the Institute.","In 2014, PNI moved into a dedicated research complex that houses both PNI and the Department of Psychology.","The building is 248,00 square feet, and was designed by Rafael Moneo to meet LEED Silver certification.",,,,,,,,,,,,,,,,,,,,,"Ralph Franklin Hefferline (15 February 1910 in Muncie, Indiana – 16 March 1974) was a psychology professor at Columbia University.","Columbia University (Columbia; officially Columbia University in the City of New York), established in 1754, is a private Ivy League research university in Upper Manhattan, New York City, often cited as one of the world's most prestigious universities.",,,
Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,1,0.1111,1.0,Scotch Collie,Scotch Collie,What are the ancestors of the Manchester Terrier? [ANSWER_1],What are the ancestors of the Scotch Collie? [ANSWER_2],"Which dog's ancestors include both smooth-haired terrier type and Roman Cattle Dogs, Native Celtic Dogs, Viking Herding Spitzes? [ANSWER_3]",,,smooth-haired terrier type,"Roman Cattle Dogs, Native Celtic Dogs, Viking Herding Spitzes",Scotch Collie,,,27,3,The Manchester Terrier is a breed of dog of the smooth-haired terrier type.,"The Toy Manchester Terrier is a breed of dog, categorized as a terrier.","The breed was bred down in size in North America from the Manchester Terrier, and is placed in the Toy Group by the American Kennel Club and the Canadian Kennel Club (the Manchester Terrier is placed in the Terrier Group.)",Neither the Fédération Cynologique Internationale nor The Kennel Club recognize a Toy variety of the Manchester Terrier.,The Scotch Collie is a landrace breed of dog which originated from the highland regions of Scotland.,The breed consisted of both the long-haired (now known as Rough) Collie and the short-haired (now known as Smooth) Collie.,"It is generally believed to have descended from a variety of ancient herding dogs, some dating back to the Roman occupation, which may have included Roman Cattle Dogs, Native Celtic Dogs and Viking Herding Spitzes.",Other ancestors include the Gordon and Irish Setters.,"The collie is a distinctive type of herding dog, including many related landraces and standardised breeds.",The type originated in Scotland and Northern England.,"The collie is a medium-sized, fairly lightly built dog, with a pointed snout.",Many types have a distinctive white pattern over the shoulders.,"Collies are very active and agile, and most types of collies have a very strong herding instinct.","Collie breeds have spread through many parts of the world (especially Australia and North America) and have diversified into many varieties, sometimes with mixture from other dog types.","Some collie breeds have remained as working dogs, used for herding cattle, sheep and other livestock, while others are kept as pets, show dogs or for dog sports, in which they display great agility, stamina and trainability.","While the AKC has a breed they call ""Collie"", in fact collie dogs are a distinctive type of herding dog including many related landraces and formal breeds.",There are usually major distinctions between show dogs and those bred for herding trials or dog sports.,"They typically display great agility, stamina and trainability and more importantly sagacity.",The Teddy Roosevelt Terrier is a small to medium-sized American hunting terrier.,"Lower-set with shorter legs, more muscular, and heavier bone density than its cousin the American Rat Terrier.","There is much diversity in the history of the Teddy Roosevelt Terrier breed and it shares a common early history with the American Rat Terrier, Fox Paulistinha and Tenterfield Terrier.",It is said the Rat Terrier background stems from the terriers or other dogs that were brought over by early English and other working class immigrants.,"Since the breed was a farm, hunting and utility dog there was little to no planned breeding other than breeding dogs with agreeable traits to each other in order to produce the desired work ethic in the dog.","It is assumed that the Feist (dog), Bull Terrier, Smooth Fox Terrier, Manchester Terrier, Whippet, Italian Greyhound, the now extinct English White Terrier, Turnspit dog and or Wry Legged Terrier all share in the Teddy Roosevelt Terrier's ancestry.",These early Ratting Terriers were then most likely bred to the Beagle or Beagle cross bred dogs (for increased scenting ability) and other dogs.,"Maximizing the influences from these various breeds provides the modern Teddy Roosevelt Terrier with a keen sense of awareness and prey drive, an acute sense of smell and a very high intellect.",Although they tend to be aloof with strangers they are devoted companion dogs with a strong desire to please and be near their owners side at all times.,,,,,The Manchester Terrier is a breed of dog of the smooth-haired terrier type.,The Scotch Collie is a landrace breed of dog which originated from the highland regions of Scotland.,Other ancestors include the Gordon and Irish Setters.,,
Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,1,0.2,1.0,"Mumbai, Maharashtra",Mumbai,Who is Sachin Warrier? [ANSWER_1],What company did Sachin Warrier work for as a software engineer? [ANSWER_2],Where is the headquarters of Tata Consultancy Services located? [ANSWER_3],,,Playback singer and composer in Malayalam cinema industry from Kerala.,Tata Consultancy Services,"Mumbai, Maharashtra",,,10,2,Sachin Warrier is a playback singer and composer in the Malayalam cinema industry from Kerala.,"He became notable with the song ""Muthuchippi Poloru"" from the film Thattathin Marayathu.",He made his debut with the movie Malarvaadi Arts Club.,He was working as a software engineer in Tata Consultancy Services in Kochi.,Later he resigned from the job to concentrate more on music.,His latest work is as a composer for the movie Aanandam.,Sachin Bansal (born 5 August 1981) is an Indian Software engineer and Internet entrepreneur known for co-founding India's e-commerce platform Flipkart.,Sachin is from Chandigarh and is an engineering graduate from Indian Institute of Technology Delhi.,"Tata Consultancy Services Limited (TCS) is an Indian multinational information technology (IT) service, consulting and business solutions company Headquartered in Mumbai, Maharashtra.",It is a subsidiary of the Tata Group and operates in 46 countries.,,,,,,,,,,,,,,,,,,,,,,He was working as a software engineer in Tata Consultancy Services in Kochi.,"Tata Consultancy Services Limited (TCS) is an Indian multinational information technology (IT) service, consulting and business solutions company Headquartered in Mumbai, Maharashtra.",,,
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1,0.069,1.0,1962,1962,What is the name of the manga series? [ANSWER_1],Who is the main character in the manga series? [ANSWER_2],What is the age of the main character in the manga series? [ANSWER_3],Who wrote and illustrated the manga series? [ANSWER_4],In which year was Akira Sugano and Etsumi Ninomiya born? [ANSWER_5],The Prince of Tennis,Ichitaka Seto,16,Akira Sugano and Etsumi Ninomiya,1962,29,2,"The Prince Of Tennis (Japanese: テニスの王子様 , Hepburn: Tenisu no Ōjisama ) is a Japanese manga series about a tennis prodigy written and illustrated by Takeshi Konomi.","The title is often shortened to Tenni-Pri (テニプリ ) , a portmanteau of the words ""Tennis Prince"".","The manga was first published in Japan in Shueisha's ""Weekly Shōnen Jump"" in July 1999, and ended publication on March 3, 2008.","A total of 379 chapters were serialized, spanning 42 volumes.","As of volume 40, the manga has sold over 40 million copies in Japan.","News that a sequel to the manga series was going to be developed was announced in the December issue of the Japanese manga magazine ""Jump Square"".","The new manga series, entitled ""New Prince of Tennis"", began serialization in the ""Jump Square"" magazine on March 4, 2009, with the story taking place several months after the end of the original manga.",Viz Media acquired the license to distribute the series in English in North America.,Clear Skies!,(Japanese: 毎日晴天!,", Hepburn: Mainichi Seiten! )",is a Japanese manga series written by Akira Sugano and illustrated by Etsumi Ninomiya.,"The manga is licensed in North America by Digital Manga Publishing under its Juné imprint, which released the first volume on 28 August 2008.","It's about four brothers living together, when one of the brother's old high school flame turns up and claims that he's married to the brothers' wild older sister, who is nowhere to be found, bringing his adopted son.","I""s (アイズ , Aizu ) is a Japanese manga series written and illustrated by Masakazu Katsura.","The story's main character is 16-year-old high school student Ichitaka Seto who is in love with his classmate Iori Yoshizuki, but too shy to tell her.","Again and again he plans to tell her his true feelings, but each time something (usually a misunderstanding of some kind) gets in the way.","Things become even more complicated when Itsuki Akiba returns to Japan; she is a girl Ichitaka was friends with in their childhood before she moved to the United States, and who had a huge crush on him.","Masakazu Katsura (桂 正和 , Katsura Masakazu , born December 10, 1962) is a Japanese manga artist, known for several works of manga, including ""Wing-man"", ""Shadow Lady"", ""DNA²"", ""Video Girl Ai"", ""I""s"", and ""Zetman"".","He has also worked as character designer for """", ""Tiger & Bunny"" and """".","Manga Bible (新約聖書 , Shinyaku Seisho ) is a five-volume manga series based on the Christian Bible created under the direction of the non-profit organization Next, a group formed by people from the manga industry.","Though first published in English, the books are originally written in Japanese and each volume is illustrated by a Japanese manga artist.",Each book is adapted from the Bible by Hidenori Kumai.,"The first two books were illustrated by manga artist Kozumi Shinozawa, while the remaining three will be illustrated by a different artist.","The first book in the series, ""Manga Messiah"" was published in 2006 and covered the four gospels of the Bible: Matthew, Mark, Luke, and John.","""Manga Metamorphosis"" (2008) covers the events in Acts and several of Paul's letters.","""Manga Mutiny"" (2008, 2009) begins in Genesis and ends in Exodus.","""Manga Melech"" (2010) picks up where ""Manga Mutiny"" left off and continues into the reign of David.","The fifth, and currently final book, ""Manga Messengers"" (2011) addresses events starting with the reign of King Solomon and takes stories from several of the major and minor prophets, and the Book of Esther and concludes with anticipation of a messiah.",,,"Masakazu Katsura (桂 正和 , Katsura Masakazu , born December 10, 1962) is a Japanese manga artist, known for several works of manga, including ""Wing-man"", ""Shadow Lady"", ""DNA²"", ""Video Girl Ai"", ""I""s"", and ""Zetman"".","The story's main character is 16-year-old high school student Ichitaka Seto who is in love with his classmate Iori Yoshizuki, but too shy to tell her.",,,
The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,1,0.1538,1.0,Ethiopian sovereignty,sovereignty,Who was Giuseppe Arimondi? [ANSWER_1],What battle did Giuseppe Arimondi lose his life in? [ANSWER_2],What did the battle in Adwa secure for Ethiopia? [ANSWER_3],,,"Italian general, mostly known for his role during the First Italo-Ethiopian War.",Adwa,Ethiopian sovereignty,,,13,2,"Giuseppe Edoardo Arimondi, OSML, OMS, OCI (Savigliano, 26 April 1846 – Adwa, 1 March 1896) was an Italian general, mostly known for his role during the First Italo-Ethiopian War.","He was one of the few European commanders who gained a victory over the Mahdists before Kitchener's Expedition, soundly defeating them at Agordat in 1893.","After a long and successfull colonial service, he died in combat at Adwa, and was posthumously awarded the Gold Medal of Military Valor.","The Second Battle of Agordat was fought in late December 1893, between Italian colonial troops and Mahdists from the Sudan.","Emir Ahmed Ali campaigned against the Italian forces in eastern Sudan and led about 10–12,000 men east from Kassala.","This force encountered 2,400 Italians and their Eritrean askaris at Agordat, west of Asmara, commanded by Colonel Arimondi.","Over 1,000 Dervishes, including the Emir, were killed in severe fighting.",The outcome of the battle constituted:,"The Battle of Adwa (Amharic: አድዋ; Amharic translated: Adowa, or sometimes by the Italian name ""Adua"") was fought on 2 March 1896/Yekatit 23, 1889 according to Ethiopian calendar between the Ethiopian Empire and the Kingdom of Italy near the town of Adwa, Ethiopia, in Tigray.","This climactic battle of the First Italo-Ethiopian War, was a decisive defeat for Italy and secured Ethiopian sovereignty.","The Treaty of Addis Ababa, signed 23 October 1896, formally ended the First Italo–Ethiopian War on terms mostly favorable to Ethiopia.","This treaty superseded a secret agreement between Ethiopia and Italy negotiated days after the decisive Battle of Adwa in March of the same year, in which Ethiopian forces commanded by Menelik II defeated the Italians.",The most important concession the Italians made was the abrogation of the Treaty of Wuchale and recognizing Ethiopia as an independent country.,,,,,,,,,,,,,,,,,,,"After a long and successfull colonial service, he died in combat at Adwa, and was posthumously awarded the Gold Medal of Military Valor.","This climactic battle of the First Italo-Ethiopian War, was a decisive defeat for Italy and secured Ethiopian sovereignty.",,,
Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,0,0.1765,1.0,Arthur Goldberg,Nelson Rockefeller,Who was Alfred Balk? [ANSWER_1],What was his position under the Committee on the Employment of Minority Groups in the News Media? [ANSWER_2],Under whom was he appointed as the secretary of the Committee? [ANSWER_3],,,"American reporter, nonfiction author, and magazine editor",Secretary,Arthur Goldberg,,,17,3,"Alfred Balk (July 24, 1930 – November 25, 2010) was an American reporter, nonfiction author and magazine editor who wrote groundbreaking articles about housing segregation, the Nation of Islam, the environment and Illinois politics.",His refusal to identify a confidential source led to a landmark court case.,"During a career-long emphasis on media improvement, he served on the Twentieth Century Fund's task force that established a National News Council, consulted for several foundations, served as secretary of New York Governor Nelson Rockefeller's Committee on the Employment of Minority Groups in the News Media, and produced a film, ""That the People Shall Know: The Challenge of Journalism"", narrated by Walter Cronkite.","He wrote and co-authored books on a variety of topics, ranging from the tax exempt status of religious organizations to globalization to the history of radio.","Nelson Aldrich Rockefeller (July 8, 1908 – January 26, 1979) was an American businessman and politician.","He served as the 41st Vice President of the United States from 1974 to 1977, and previously as the 49th Governor of New York (1959–1973).","He also served as Assistant Secretary of State for American Republic Affairs for Presidents Franklin D. Roosevelt and Harry S. Truman as well as Under Secretary of Health, Education and Welfare under Dwight D. Eisenhower.","A member of the wealthy Rockefeller family, he was also a noted art collector, as well as administrator of Rockefeller Center in Manhattan, New York.","Executive Order 10925, signed by President John F. Kennedy on March 6, 1961, required government contractors to ""take affirmative action to ensure that applicants are employed and that employees are treated during employment without regard to their race, creed, color, or national origin.""","It established the President's Committee on Equal Employment Opportunity (PCEEO), which was chaired by then Vice President Lyndon Johnson.",Vice Chair and Secretary of Labor Arthur Goldberg was in charge of the Committee's operations.,"This first implementation of Affirmative Action was meant to give equal opportunities in the workforce to all U.S. citizens, not to give special treatment to those discriminated against.","The Gore-Chernomyrdin Commission, or U.S.-Russian Joint Commission on Economic and Technological Cooperation, was a United States and Russian Joint Commission developed to increase cooperation between the two countries in several different areas.",The Commission was developed by the United States’ President Bill Clinton and Russian President Boris Yeltsin at a summit in Vancouver in April 1993.,"Al Gore, the United States Vice President, and Victor Chernomyrdin, the Russian Prime Minister, were appointed as co-chairmen, and the committee derives its name from those two individuals.","Before his appointment to the Commission, Chernomyrdin oversaw the Soviet national oil industry as minister from 1985-1989.","After the fall of the Soviet Union, Chernomyrdin organized the Soviet oil industry into the Gazprom corporation.",,,,,,,,,,,,,,,"Alfred Balk (July 24, 1930 – November 25, 2010) was an American reporter, nonfiction author and magazine editor who wrote groundbreaking articles about housing segregation, the Nation of Islam, the environment and Illinois politics.","During a career-long emphasis on media improvement, he served on the Twentieth Century Fund's task force that established a National News Council, consulted for several foundations, served as secretary of New York Governor Nelson Rockefeller's Committee on the Employment of Minority Groups in the News Media, and produced a film, ""That the People Shall Know: The Challenge of Journalism"", narrated by Walter Cronkite.","Nelson Aldrich Rockefeller (July 8, 1908 – January 26, 1979) was an American businessman and politician.",,
"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",0,0.0769,0.25,Firth of Forth,Yellowcraig,"Identify the location: Dirleton, East Lothian, Scotland.",Determine the type of structure: A medieval fortress.,"Identify the coastal area: The fortress borders on the south side of the Firth of Forth, which is a coastal area.",,,"Dirleton, East Lothian, Scotland.",Dirleton Castle,Scottish Borders,,,13,4,"Dirleton Castle is a medieval fortress in the village of Dirleton, East Lothian, Scotland.","It lies around 2 mi west of North Berwick, and around 19 mi east of Edinburgh.","The oldest parts of the castle date to the 13th century, and it was abandoned by the end of the 17th century.","Dirleton Kirk is situated to the north of the village green in Dirleton, in East Lothian, Scotland.",Dirleton village lies on the south shore of the Firth of Forth 21 miles east of Edinburgh and two miles west of North Berwick on the A198 road.,The church is at grid reference [ NT512842] .,"St. Mary's Priory, North Berwick, was a monastery of nuns in medieval East Lothian, Scotland.","Founded by Donnchad I, Earl of Fife (owner of much of northern East Lothian) around 1150, the priory lasted for more than four centuries, declining and disappearing after the Scottish Reformation.","It had been endowed by the Earls of Carrick as well as the Earls of Fife, but over time lost its dependence on these and came to be controlled by the more locally based Home (or Hume) family, who eventually acquired the priory's lands as a free barony.","Lothian and Borders is an area in south-east Scotland consisting of the East Lothian, City of Edinburgh, Midlothian, West Lothian areas (collectively known as Lothian) along with the Scottish Borders.","The Scottish Borders (Scots: ""The Mairches"" , ""The Marches"") is one of 32 council areas of Scotland.","It borders the City of Edinburgh, Dumfries and Galloway, East Lothian, Midlothian, South Lanarkshire, West Lothian and, to the south and east, Northumberland in England.",The administrative centre of the area is Newtown St Boswells.,,,,,,,,,,,,,,,,,,,"Yellowcraig, less commonly known as Broad Sands Bay, is a coastal area of forest, beach and grassland in East Lothian, south-east Scotland.",Yellowcraig is partly within the Firth of Forth Site of Special Scientific Interest (SSSI).,"It is bordered to the north by the Firth of Forth, to the south by the village of Dirleton and Dirleton Castle, to the east by the North Berwick West Links golf course, and to the west by the Archerfield Estate and Links golf courses.","Dirleton Castle is a medieval fortress in the village of Dirleton, East Lothian, Scotland.",
Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,0,0.1154,1.0,Tom Wolfe,Phil Spector,Who wrote the song that was inspired by words on a tombstone and was the first track on the box set Back to Mono? [ANSWER_1],What is the name of the song? [ANSWER_2],Which box set does this song come from? [ANSWER_3],,,Tom Wolfe,To Know Him Is to Love Him,Radiohead Box Set,,,26,3,"Back to Mono (1958–1969) is a box set (4 compact discs or 5 vinyl LPs) compilation of the recorded work of record producer Phil Spector, through the 1960s, released in 1991 by ABKCO as #7118-2.","The first track, ""To Know Him Is to Love Him,"" released in 1958, features Spector performing as part of the group the Teddy Bears.","Initially a vinyl album-sized package, the box contained a booklet with photographs, complete song lyrics, discographical information, and a reproduction of the essay on Spector by Tom Wolfe, ""The First Tycoon of Teen.""","The package also contained a small, round, red ""Back to Mono"" pin.","Mono Masters is a compilation album by the Beatles, and is an alternate, all-mono version of the album ""Past Masters"".","""Mono Masters"" was originally a two-CD set included as part of ""The Beatles in Mono"" box set.","The premise of this box set was to compile only Beatles material which was released or prepared for release with a dedicated mono mix (the set excludes later material mixed and released only in stereo, and material whose mono version was simply created as an equal mix of the two channels of the stereo version).","As a result, the track listing for ""Mono Masters"" differs from ""Past Masters"" on the second half of disc two, omitting some later songs that never had a mono mix (""Old Brown Shoe"", ""The Ballad of John and Yoko"" and ""Let It Be""), and adding several songs released on stereo-only albums that had unreleased mono mixes.","Tracks 9–12 and 15 were prepared in March 1969 for release as a 7"" mono ""Yellow Submarine"" EP, two months after the release of the similarly titled soundtrack album, but the project was scrapped, although the EP was mastered.","Subsequently, the tracks were only released in stereo (and in an electronically produced mono mixdown, or ""fold-down"", of the stereo mix), while the true mono mixes remained unreleased.","""Get Back"" (with B-side ""Don't Let Me Down"") was the final Beatles single mixed for mono format.","It was released in the UK in mono, though the US release was in stereo.","Thus, the songs that were originally released on stereo singles in the UK are omitted on this release.","""To Know Him Is to Love Him"" is a song written by Phil Spector, inspired by words on his father's tombstone, ""To Know Him Was To Love Him.""","It was first recorded by the only vocal group of which he was a member, the Teddy Bears.","Their recording spent three weeks at No. 1 on the ""Billboard"" Hot 100 singles chart in 1958, while reaching No. 2 on UK's ""New Musical Express"" chart.","Peter & Gordon and Bobby Vinton later had hits with the song, with its title and lyrics changed to ""To Know You Is to Love You"".","In 1987, the song was resurrected by Dolly Parton, Linda Ronstadt and Emmylou Harris, whose ""Trio"" recording topped the U.S. country singles charts.",The song is in 12/8 time.,"Radiohead Box Set is a box set of the first six studio albums and one live album by the English rock band Radiohead, released on 10 December 2007.","The box set is available as a seven CD box set, a digital download and a 4GB USB Stick.",The box set peaked at #95 in Canada's album charts.,Led Zeppelin Boxed Set 2 is a double album released by Atlantic Records on 21 September 1993.,"This box set features the rest of the English rock band Led Zeppelin's catalogue not included in the 1990 4-CD box set ""Led Zeppelin"", all digitally remastered, including the previously unreleased studio track ""Baby Come On Home"".",A 54-page booklet was also included with the release.,Between this box set and the 4-CD box set every track from the band's nine studio albums are featured along with two BBC live recordings; the band's only non-LP b-side; and one studio outtake.,,,,,,"Back to Mono (1958–1969) is a box set (4 compact discs or 5 vinyl LPs) compilation of the recorded work of record producer Phil Spector, through the 1960s, released in 1991 by ABKCO as #7118-2.","The first track, ""To Know Him Is to Love Him,"" released in 1958, features Spector performing as part of the group the Teddy Bears.","""To Know Him Is to Love Him"" is a song written by Phil Spector, inspired by words on his father's tombstone, ""To Know Him Was To Love Him.""",,
